Index;Name;Construction
DG;Deutschland;216120
1;  Schleswig-Holstein;9613
1001;      Flensburg, Kreisfreie Stadt;113
1002;      Kiel, Landeshauptstadt, Kreisfreie Stadt;255
1003;      LŸbeck, Hansestadt, Kreisfreie Stadt;468
1004;      NeumŸnster, Kreisfreie Stadt;80
1051;      Dithmarschen, Landkreis;360
1053;      Herzogtum Lauenburg, Landkreis;558
1054;      Nordfriesland, Landkreis;1035
1055;      Ostholstein, Landkreis;882
1056;      Pinneberg, Landkreis;1708
1057;      Plšn, Landkreis;341
1058;      Rendsburg-Eckernfšrde, Landkreis;1276
1059;      Schleswig-Flensburg, Landkreis;887
1060;      Segeberg, Landkreis;809
1061;      Steinburg, Landkreis;203
1062;      Stormarn, Landkreis;638
2;  Hamburg;6086
3;  Niedersachsen;22932
31;    Braunschweig, Stat. Region;2580
3101;      Braunschweig, Kreisfreie Stadt;277
3102;      Salzgitter, Kreisfreie Stadt;54
3103;      Wolfsburg, Kreisfreie Stadt;364
3151;      Gifhorn, Landkreis;686
3152;      Gšttingen, Landkreis;368
3153;      Goslar, Landkreis;60
3154;      Helmstedt, Landkreis;178
3155;      Northeim, Landkreis;79
3156;      Osterode am Harz, Landkreis;58
3157;      Peine, Landkreis;255
3158;      WolfenbŸttel, Landkreis;201
32;    Hannover, Stat. Region;3881
3241;      Region Hannover, Landkreis;2351
3241001;      Hannover, Landeshauptstadt;975
3251;      Diepholz, Landkreis;613
3252;      Hameln-Pyrmont, Landkreis;162
3254;      Hildesheim, Landkreis;368
3255;      Holzminden, Landkreis;20
3256;      Nienburg (Weser), Landkreis;183
3257;      Schaumburg, Landkreis;184
33;    LŸneburg, Stat. Region;5413
3351;      Celle, Landkreis;329
3352;      Cuxhaven, Landkreis;782
3353;      Harburg, Landkreis;1094
3354;      LŸchow-Dannenberg, Landkreis;77
3355;      LŸneburg, Landkreis;475
3356;      Osterholz, Landkreis;332
3357;      Rotenburg (WŸmme), Landkreis;527
3358;      Heidekreis, Landkreis;242
3359;      Stade, Landkreis;968
3360;      Uelzen, Landkreis;170
3361;      Verden, Landkreis;417
34;    Weser-Ems, Stat. Region;11058
3401;      Delmenhorst, Kreisfreie Stadt;229
3402;      Emden, Kreisfreie Stadt;247
3403;      Oldenburg (Oldenburg), Kreisfreie Stadt;684
3404;      OsnabrŸck, Kreisfreie Stadt;354
3405;      Wilhelmshaven, Kreisfreie Stadt;102
3451;      Ammerland, Landkreis;618
3452;      Aurich, Landkreis;743
3453;      Cloppenburg, Landkreis;1106
3454;      Emsland, Landkreis;2230
3455;      Friesland, Landkreis;471
3456;      Grafschaft Bentheim, Landkreis;745
3457;      Leer, Landkreis;738
3458;      Oldenburg, Landkreis;326
3459;      OsnabrŸck, Landkreis;1173
3460;      Vechta, Landkreis;929
3461;      Wesermarsch, Landkreis;133
3462;      Wittmund, Landkreis;230
4;  Bremen;1197
4011;      Bremen, Kreisfreie Stadt;1079
4012;      Bremerhaven, Kreisfreie Stadt;118
5;  Nordrhein-Westfalen;40769
51;    DŸsseldorf, Regierungsbezirk;9408
5111;      DŸsseldorf, Kreisfreie Stadt;2182
5112;      Duisburg, Kreisfreie Stadt;493
5113;      Essen, Kreisfreie Stadt;657
5114;      Krefeld, Kreisfreie Stadt;208
5116;      Mšnchengladbach, Kreisfreie Stadt;227
5117;      MŸlheim an der Ruhr, Kreisfreie Stadt;327
5119;      Oberhausen, Kreisfreie Stadt;265
5120;      Remscheid, Kreisfreie Stadt;118
5122;      Solingen, Kreisfreie Stadt;196
5124;      Wuppertal, Kreisfreie Stadt;280
5154;      Kleve, Kreis;1057
5158;      Mettmann, Kreis;877
5162;      Rhein-Kreis Neuss;837
5166;      Viersen, Kreis;703
5170;      Wesel, Kreis;981
53;    Kšln, Regierungsbezirk;12554
5314;      Bonn, Kreisfreie Stadt;769
5315;      Kšln, Kreisfreie Stadt;3435
5316;      Leverkusen, Kreisfreie Stadt;278
5334;      StŠdteregion Aachen (einschl. Stadt Aachen);1050
5334002;      Aachen, krfr. Stadt;315
5354;      Aachen, Kreis;-
5358;      DŸren, Kreis;637
5362;      Rhein-Erft-Kreis;1478
5366;      Euskirchen, Kreis;525
5370;      Heinsberg, Kreis;974
5374;      Oberbergischer Kreis;452
5378;      Rheinisch-Bergischer Kreis;722
5382;      Rhein-Sieg-Kreis;2234
55;    MŸnster, Regierungsbezirk;7581
5512;      Bottrop, Kreisfreie Stadt;244
5513;      Gelsenkirchen, Kreisfreie Stadt;146
5515;      MŸnster, Kreisfreie Stadt;1272
5554;      Borken, Kreis;1467
5558;      Coesfeld, Kreis;709
5562;      Recklinghausen, Kreis;958
5566;      Steinfurt, Kreis;2008
5570;      Warendorf, Kreis;777
57;    Detmold, Regierungsbezirk;5719
5711;      Bielefeld, Kreisfreie Stadt;1269
5754;      GŸtersloh, Kreis;1135
5758;      Herford, Kreis;467
5762;      Hšxter, Kreis;183
5766;      Lippe, Kreis;696
5770;      Minden-LŸbbecke, Kreis;850
5774;      Paderborn, Kreis;1119
59;    Arnsberg, Regierungsbezirk;5507
5911;      Bochum, Kreisfreie Stadt;459
5913;      Dortmund, Kreisfreie Stadt;948
5914;      Hagen, Kreisfreie Stadt;265
5915;      Hamm, Kreisfreie Stadt;215
5916;      Herne, Kreisfreie Stadt;143
5954;      Ennepe-Ruhr-Kreis;384
5958;      Hochsauerlandkreis;497
5962;      MŠrkischer Kreis;241
5966;      Olpe, Kreis;235
5970;      Siegen-Wittgenstein, Kreis;409
5974;      Soest, Kreis;1132
5978;      Unna, Kreis;579
6;  Hessen;14908
64;    Darmstadt, Regierungsbezirk;10942
6411;      Darmstadt, Kreisfreie Stadt;571
6412;      Frankfurt am Main, Kreisfreie Stadt;3556
6413;      Offenbach am Main, Kreisfreie Stadt;376
6414;      Wiesbaden, Landeshauptstadt, Kreisfreie Stadt;549
6431;      Bergstra§e, Landkreis;426
6432;      Darmstadt-Dieburg, Landkreis;788
6433;      Gro§-Gerau, Landkreis;818
6434;      Hochtaunuskreis;649
6435;      Main-Kinzig-Kreis;822
6436;      Main-Taunus-Kreis;574
6437;      Odenwaldkreis;196
6438;      Offenbach, Landkreis;703
6439;      Rheingau-Taunus-Kreis;222
6440;      Wetteraukreis;692
65;    Gie§en, Regierungsbezirk;2205
6531;      Gie§en, Landkreis;912
6532;      Lahn-Dill-Kreis;480
6533;      Limburg-Weilburg, Landkreis;286
6534;      Marburg-Biedenkopf, Landkreis;426
6535;      Vogelsbergkreis;101
66;    Kassel, Regierungsbezirk;1761
6611;      Kassel, Kreisfreie Stadt;267
6631;      Fulda, Landkreis;701
6632;      Hersfeld-Rotenburg, Landkreis;111
6633;      Kassel, Landkreis;304
6634;      Schwalm-Eder-Kreis;130
6635;      Waldeck-Frankenberg, Landkreis;202
6636;      Werra-Mei§ner-Kreis;46
7;  Rheinland-Pfalz;10711
71;    Koblenz, Stat. Region;3247
7111;      Koblenz, Kreisfreie Stadt;192
7131;      Ahrweiler, Landkreis;415
7132;      Altenkirchen (Westerwald), Landkreis;211
7133;      Bad Kreuznach, Landkreis;296
7134;      Birkenfeld, Landkreis;70
7135;      Cochem-Zell, Landkreis;129
7137;      Mayen-Koblenz, Landkreis;875
7138;      Neuwied, Landkreis;288
7140;      Rhein-HunsrŸck-Kreis;229
7141;      Rhein-Lahn-Kreis;154
7143;      Westerwaldkreis;388
72;    Trier, Stat. Region;1707
7211;      Trier, Kreisfreie Stadt;293
7231;      Bernkastel-Wittlich, Landkreis;388
7232;      Eifelkreis Bitburg-PrŸm;374
7233;      Vulkaneifel, Landkreis;125
7235;      Trier-Saarburg, Landkreis;527
73;    Rheinhessen-Pfalz, Stat. Region;5757
7311;      Frankenthal (Pfalz), Kreisfreie Stadt;43
7312;      Kaiserslautern, Kreisfreie Stadt;195
7313;      Landau in der Pfalz, Kreisfreie Stadt;269
7314;      Ludwigshafen am Rhein, Kreisfreie Stadt;404
7315;      Mainz, Kreisfreie Stadt;982
7316;      Neustadt an der Weinstra§e, Kreisfreie Stadt;108
