Index,Name,Birthrate/1000 inh,Beds in hospitals (JD)_hospital,20-40 year olds,40-65 year olds,65 year and older,Total_workingAge,Total Unemployed_unemployed,Population density (inh/km2),Kaufsumme - Total (Tsd. EUR)_worthArea,Hospitals_hospital,Avg life exp men,Avg life exp women,Differences in life exp,Spendable Income
1001,Flensburg,9.97184147448279,863.0,25778,22917,17576,27702.0,4870.0,1514.6633768064858,3097,2.0,78.76,81.22,2.4599999999999937,18956
1002,Kiel,10.11749612270915,2265.0,82132,65263,45214,81444.0,13022.0,2075.9039190897597,7645,8.0,79.86,82.03,2.1700000000000017,18330
1003,Lübeck,8.725890507877347,1720.0,54999,61699,49952,71336.0,10858.0,1009.5373698706876,13773,6.0,79.1,82.17,3.0700000000000074,18927
1004,Neumünster,7.942220033587131,678.0,18651,22955,17730,26311.0,4201.0,1105.640094932291,2898,3.0,78.83,79.95,1.1200000000000045,18135
1051,Dithmarschen,7.222552419931235,703.0,26868,40066,31955,43459.0,4890.0,93.07065883357957,4860,1.0,78.91,81.44,2.530000000000001,20490
1053,Herzogtum Lauenburg,8.279835646816823,602.0,40161,61130,42646,68675.0,5924.0,152.81239607911448,24869,5.0,79.54,82.23,2.6899999999999977,22784
1054,Nordfriesland,7.629909734081483,729.0,34641,49526,38422,57011.0,5394.0,78.72057460834162,24510,6.0,79.95,82.2,2.25,22861
1055,Ostholstein,6.594045316524197,1788.0,36906,61351,53468,67496.0,6225.0,143.3113838243848,18095,14.0,79.95,83.22,3.269999999999996,21694
1056,Pinneberg,8.739035551320287,974.0,66708,96579,68016,115992.0,8677.0,462.88445615355664,32264,3.0,79.89,82.49,2.5999999999999943,23766
1057,Plön,7.287379972565158,225.0,23199,40317,32487,42716.0,3573.0,118.45013340226552,4365,3.0,79.86,82.57,2.7099999999999937,21610
1058,Rendsburg-Eckernförde,7.8001908439296095,1090.0,52358,85512,61899,91295.0,7215.0,123.50821094945526,15584,4.0,79.47,82.18,2.710000000000008,22093
1059,Schleswig-Flensburg,7.854134597310493,666.0,39091,60650,45767,62773.0,6889.0,95.03024626689133,12087,3.0,78.92,81.72,2.799999999999997,20830
1060,Segeberg,8.257851313817042,1698.0,57772,84656,57881,101151.0,6912.0,198.9742712416599,24219,7.0,79.44,82.09,2.6500000000000057,22109
1061,Steinburg,7.546193812425356,633.0,26755,42230,29337,46407.0,4454.0,124.46811532452776,10590,1.0,79.29,81.01,1.7199999999999989,20869
1062,Stormarn,8.684801388900482,1143.0,48384,75666,54522,87636.0,4748.0,312.69362773884563,70153,5.0,79.32,82.72,3.4000000000000057,24700
2000,Hamburg,,,534348,506646,334409,,,2366.7381690103543,,,79.54,82.85,3.309999999999988,23596
3101,Braunschweig,9.579732976878153,2004.0,76150,68220,52158,94264.0,8829.0,1307.9612862940992,25238,7.0,80.24,82.17,1.9300000000000068,19803
3102,Salzgitter,8.547769566378772,463.0,22730,29040,23588,35367.0,4781.0,451.4067524115756,7987,2.0,78.52,81.1,2.5799999999999983,19320
