Index;Name;Houses
DG;Deutschland;40071484
1;  Schleswig-Holstein;1395708
1001;      Flensburg, Kreisfreie Stadt;46803
1002;      Kiel, Landeshauptstadt, Kreisfreie Stadt;129149
1003;      LŸbeck, Hansestadt, Kreisfreie Stadt;112576
1004;      NeumŸnster, Kreisfreie Stadt;40357
1051;      Dithmarschen, Landkreis;68278
1053;      Herzogtum Lauenburg, Landkreis;87037
1054;      Nordfriesland, Landkreis;96952
1055;      Ostholstein, Landkreis;111599
1056;      Pinneberg, Landkreis;137445
1057;      Plšn, Landkreis;62467
1058;      Rendsburg-Eckernfšrde, Landkreis;127749
1059;      Schleswig-Flensburg, Landkreis;92203
1060;      Segeberg, Landkreis;117239
1061;      Steinburg, Landkreis;61891
1062;      Stormarn, Landkreis;103966
2;  Hamburg;883427
3;  Niedersachsen;3766689
31;    Braunschweig, Stat. Region;806736
3101;      Braunschweig, Kreisfreie Stadt;133095
3102;      Salzgitter, Kreisfreie Stadt;53658
3103;      Wolfsburg, Kreisfreie Stadt;61863
3151;      Gifhorn, Landkreis;75401
3152;      Gšttingen, Landkreis;125424
3153;      Goslar, Landkreis;80547
3154;      Helmstedt, Landkreis;47134
3155;      Northeim, Landkreis;69119
3156;      Osterode am Harz, Landkreis;41285
3157;      Peine, Landkreis;60864
3158;      WolfenbŸttel, Landkreis;58347
32;    Hannover, Stat. Region;1062001
3241;      Region Hannover, Landkreis;575181
3241001;      Hannover, Landeshauptstadt;287180
3251;      Diepholz, Landkreis;94191
3252;      Hameln-Pyrmont, Landkreis;80653
3254;      Hildesheim, Landkreis;140023
3255;      Holzminden, Landkreis;38784
3256;      Nienburg (Weser), Landkreis;54645
3257;      Schaumburg, Landkreis;78526
33;    LŸneburg, Stat. Region;789859
3351;      Celle, Landkreis;86107
3352;      Cuxhaven, Landkreis;98758
3353;      Harburg, Landkreis;112524
3354;      LŸchow-Dannenberg, Landkreis;25478
3355;      LŸneburg, Landkreis;82634
3356;      Osterholz, Landkreis;49645
3357;      Rotenburg (WŸmme), Landkreis;71421
3358;      Heidekreis, Landkreis;65708
3359;      Stade, Landkreis;90060
3360;      Uelzen, Landkreis;47116
3361;      Verden, Landkreis;60410
34;    Weser-Ems, Stat. Region;1108095
3401;      Delmenhorst, Kreisfreie Stadt;36476
3402;      Emden, Kreisfreie Stadt;24754
3403;      Oldenburg (Oldenburg), Kreisfreie Stadt;82889
3404;      OsnabrŸck, Kreisfreie Stadt;84148
3405;      Wilhelmshaven, Kreisfreie Stadt;44143
3451;      Ammerland, Landkreis;53084
3452;      Aurich, Landkreis;93080
3453;      Cloppenburg, Landkreis;58450
3454;      Emsland, Landkreis;122180
3455;      Friesland, Landkreis;49701
3456;      Grafschaft Bentheim, Landkreis;55087
3457;      Leer, Landkreis;74626
3458;      Oldenburg, Landkreis;54094
3459;      OsnabrŸck, Landkreis;150558
3460;      Vechta, Landkreis;50362
3461;      Wesermarsch, Landkreis;44575
3462;      Wittmund, Landkreis;29891
4;  Bremen;341974
4011;      Bremen, Kreisfreie Stadt;280164
4012;      Bremerhaven, Kreisfreie Stadt;61811
5;  Nordrhein-Westfalen;8681792
51;    DŸsseldorf, Regierungsbezirk;2619784
5111;      DŸsseldorf, Kreisfreie Stadt;333193
5112;      Duisburg, Kreisfreie Stadt;257772
5113;      Essen, Kreisfreie Stadt;310867
5114;      Krefeld, Kreisfreie Stadt;117675
5116;      Mšnchengladbach, Kreisfreie Stadt;134403
5117;      MŸlheim an der Ruhr, Kreisfreie Stadt;90729
5119;      Oberhausen, Kreisfreie Stadt;111439
5120;      Remscheid, Kreisfreie Stadt;58700
5122;      Solingen, Kreisfreie Stadt;83574
5124;      Wuppertal, Kreisfreie Stadt;191387
5154;      Kleve, Kreis;134890
5158;      Mettmann, Kreis;236137
5162;      Rhein-Kreis Neuss;207994
5166;      Viersen, Kreis;138052
5170;      Wesel, Kreis;212976
53;    Kšln, Regierungsbezirk;2095343
5314;      Bonn, Kreisfreie Stadt;158868
5315;      Kšln, Kreisfreie Stadt;523069
5316;      Leverkusen, Kreisfreie Stadt;79993
5334;      StŠdteregion Aachen (einschl. Stadt Aachen);271589
5334002;      Aachen, krfr. Stadt;126797
5354;      Aachen, Kreis;-
5358;      DŸren, Kreis;119258
5362;      Rhein-Erft-Kreis;212210
5366;      Euskirchen, Kreis;87727
5370;      Heinsberg, Kreis;111302
5374;      Oberbergischer Kreis;128341
5378;      Rheinisch-Bergischer Kreis;134706
5382;      Rhein-Sieg-Kreis;268283
55;    MŸnster, Regierungsbezirk;1201787
5512;      Bottrop, Kreisfreie Stadt;58774
5513;      Gelsenkirchen, Kreisfreie Stadt;138004
5515;      MŸnster, Kreisfreie Stadt;149341
5554;      Borken, Kreis;149670
5558;      Coesfeld, Kreis;91342
5562;      Recklinghausen, Kreis;312318
5566;      Steinfurt, Kreis;182475
5570;      Warendorf, Kreis;119863
57;    Detmold, Regierungsbezirk;949773
5711;      Bielefeld, Kreisfreie Stadt;163934
5754;      GŸtersloh, Kreis;155428
5758;      Herford, Kreis;119034
5762;      Hšxter, Kreis;66000
5766;      Lippe, Kreis;169218
5770;      Minden-LŸbbecke, Kreis;141169
5774;      Paderborn, Kreis;134992
59;    Arnsberg, Regierungsbezirk;1815106
5911;      Bochum, Kreisfreie Stadt;194398
5913;      Dortmund, Kreisfreie Stadt;307552
5914;      Hagen, Kreisfreie Stadt;102138
5915;      Hamm, Kreisfreie Stadt;84886
5916;      Herne, Kreisfreie Stadt;83391
5954;      Ennepe-Ruhr-Kreis;171259
5958;      Hochsauerlandkreis;131735
5962;      MŠrkischer Kreis;211176
5966;      Olpe, Kreis;61731
5970;      Siegen-Wittgenstein, Kreis;134647
5974;      Soest, Kreis;137754
5978;      Unna, Kreis;194440
6;  Hessen;2914497
64;    Darmstadt, Regierungsbezirk;1833826
6411;      Darmstadt, Kreisfreie Stadt;73296
6412;      Frankfurt am Main, Kreisfreie Stadt;346158
6413;      Offenbach am Main, Kreisfreie Stadt;56557
6414;      Wiesbaden, Landeshauptstadt, Kreisfreie Stadt;137930
6431;      Bergstra§e, Landkreis;125030
6432;      Darmstadt-Dieburg, Landkreis;133652
6433;      Gro§-Gerau, Landkreis;118225
6434;      Hochtaunuskreis;108369
6435;      Main-Kinzig-Kreis;193315
6436;      Main-Taunus-Kreis;107310
6437;      Odenwaldkreis;45836
6438;      Offenbach, Landkreis;158490
6439;      Rheingau-Taunus-Kreis;89614
6440;      Wetteraukreis;140046
65;    Gie§en, Regierungsbezirk;484622
6531;      Gie§en, Landkreis;123257
6532;      Lahn-Dill-Kreis;117695
6533;      Limburg-Weilburg, Landkreis;80316
6534;      Marburg-Biedenkopf, Landkreis;112180
6535;      Vogelsbergkreis;51176
66;    Kassel, Regierungsbezirk;596049
6611;      Kassel, Kreisfreie Stadt;101081
6631;      Fulda, Landkreis;105286
6632;      Hersfeld-Rotenburg, Landkreis;58203
6633;      Kassel, Landkreis;115663
6634;      Schwalm-Eder-Kreis;86497
6635;      Waldeck-Frankenberg, Landkreis;77928
6636;      Werra-Mei§ner-Kreis;51393
7;  Rheinland-Pfalz;1992448
71;    Koblenz, Stat. Region;743008
7111;      Koblenz, Kreisfreie Stadt;59551
7131;      Ahrweiler, Landkreis;65328
7132;      Altenkirchen (Westerwald), Landkreis;61513
7133;      Bad Kreuznach, Landkreis;75725
7134;      Birkenfeld, Landkreis;44078
7135;      Cochem-Zell, Landkreis;32912
7137;      Mayen-Koblenz, Landkreis;106170
7138;      Neuwied, Landkreis;88994
7140;      Rhein-HunsrŸck-Kreis;50961
7141;      Rhein-Lahn-Kreis;63425
7143;      Westerwaldkreis;94354
72;    Trier, Stat. Region;262078
7211;      Trier, Kreisfreie Stadt;56313
7231;      Bernkastel-Wittlich, Landkreis;57389
7232;      Eifelkreis Bitburg-PrŸm;48541
7233;      Vulkaneifel, Landkreis;31890
7235;      Trier-Saarburg, Landkreis;67946
73;    Rheinhessen-Pfalz, Stat. Region;987362
7311;      Frankenthal (Pfalz), Kreisfreie Stadt;21405
7312;      Kaiserslautern, Kreisfreie Stadt;53646
7313;      Landau in der Pfalz, Kreisfreie Stadt;22126
7314;      Ludwigshafen am Rhein, Kreisfreie Stadt;78036
7315;      Mainz, Kreisfreie Stadt;98029
7316;      Neustadt an der Weinstra§e, Kreisfreie Stadt;27477
7317;      Pirmasens, Kreisfreie Stadt;24757
