,Index,Name,Type,Construction_ConstructionOfHouses,Houses_NumberOfHouses
0,1001,Flensburg, kreisfreie Stadt,113,46803
1,1002,Kiel, kreisfreie Stadt,255,129149
2,1003,Lübeck, kreisfreie Stadt,468,112576
3,1004,Neumünster, kreisfreie Stadt,80,40357
4,1051,Dithmarschen, Landkreis,360,68278
5,1053,Herzogtum Lauenburg, Landkreis,558,87037
6,1054,Nordfriesland, Landkreis,1035,96952
7,1055,Ostholstein, Landkreis,882,111599
8,1056,Pinneberg, Landkreis,1708,137445
9,1057,Plön, Landkreis,341,62467
10,1058,Rendsburg-Eckernförde, Landkreis,1276,127749
11,1059,Schleswig-Flensburg, Landkreis,887,92203
12,1060,Segeberg, Landkreis,809,117239
13,1061,Steinburg, Landkreis,203,61891
14,1062,Stormarn, Landkreis,638,103966
15,3101,Braunschweig, kreisfreie Stadt,277,133095
16,3102,Salzgitter, kreisfreie Stadt,54,53658
17,3103,Wolfsburg, kreisfreie Stadt,364,61863
18,3151,Gifhorn, Landkreis,686,75401
19,3152,Göttingen, Landkreis,368,125424
20,3153,Goslar, Landkreis,60,80547
21,3154,Helmstedt, Landkreis,178,47134
22,3155,Northeim, Landkreis,79,69119
23,3156,Osterode am Harz, Landkreis,58,41285
24,3157,Peine, Landkreis,255,60864
25,3158,Wolfenbüttel, Landkreis,201,58347
26,3241,Region Hannover, Landkreis,2351,575181
27,3251,Diepholz, Landkreis,613,94191
28,3252,Hameln-Pyrmont, Landkreis,162,80653
29,3254,Hildesheim, Landkreis,368,140023
30,3255,Holzminden, Landkreis,20,38784
31,3256,Nienburg (Weser), Landkreis,183,54645
32,3257,Schaumburg, Landkreis,184,78526
33,3351,Celle, Landkreis,329,86107
34,3352,Cuxhaven, Landkreis,782,98758
35,3353,Harburg, Landkreis,1094,112524
36,3354,Lüchow-Dannenberg, Landkreis,77,25478
37,3355,Lüneburg, Landkreis,475,82634
38,3356,Osterholz, Landkreis,332,49645
39,3357,Rotenburg (Wümme), Landkreis,527,71421
40,3358,Heidekreis,,242,65708
41,3359,Stade, Landkreis,968,90060
42,3360,Uelzen, Landkreis,170,47116
43,3361,Verden, Landkreis,417,60410
44,3401,Delmenhorst, kreisfreie Stadt,229,36476
45,3402,Emden, kreisfreie Stadt,247,24754
46,3403,Oldenburg (Oldenburg), kreisfreie Stadt,684,82889
47,3404,Osnabrück, kreisfreie Stadt,354,84148
48,3405,Wilhelmshaven, kreisfreie Stadt,102,44143
49,3451,Ammerland, Landkreis,618,53084
50,3452,Aurich, Landkreis,743,93080
51,3453,Cloppenburg, Landkreis,1106,58450
52,3454,Emsland, Landkreis,2230,122180
53,3455,Friesland, Landkreis,471,49701
54,3456,Grafschaft Bentheim, Landkreis,745,55087
55,3457,Leer, Landkreis,738,74626
56,3458,Oldenburg, Landkreis,326,54094
57,3459,Osnabrück, Landkreis,1173,150558
58,3460,Vechta, Landkreis,929,50362
59,3461,Wesermarsch, Landkreis,133,44575
60,3462,Wittmund, Landkreis,230,29891
61,4011,Bremen, kreisfreie Stadt,1079,280164
62,4012,Bremerhaven, kreisfreie Stadt,118,61811
63,5111,Düsseldorf, kreisfreie Stadt,2182,333193
64,5112,Duisburg, kreisfreie Stadt,493,257772
65,5113,Essen, kreisfreie Stadt,657,310867
66,5114,Krefeld, kreisfreie Stadt,208,117675
67,5116,Mönchengladbach, kreisfreie Stadt,227,134403
68,5117,Mülheim an der Ruhr, kreisfreie Stadt,327,90729
69,5119,Oberhausen, kreisfreie Stadt,265,111439
70,5120,Remscheid, kreisfreie Stadt,118,58700
71,5122,Solingen, kreisfreie Stadt,196,83574
72,5124,Wuppertal, kreisfreie Stadt,280,191387
73,5154,Kleve, Landkreis,1057,134890
74,5158,Mettmann, Landkreis,877,236137
75,5162,Rhein-Kreis Neuss,,837,207994
76,5166,Viersen, Landkreis,703,138052
77,5170,Wesel, Landkreis,981,212976
78,5314,Bonn, kreisfreie Stadt,769,158868
79,5315,Köln, kreisfreie Stadt,3435,523069
80,5316,Leverkusen, kreisfreie Stadt,278,79993
81,5334,Städteregion Aachen, Landkreis,1050,271589
82,5358,Düren, Landkreis,637,119258
83,5362,Rhein-Erft-Kreis,,1478,212210
84,5366,Euskirchen, Landkreis,525,87727
85,5370,Heinsberg, Landkreis,974,111302
86,5374,Oberbergischer Kreis,,452,128341
87,5378,Rheinisch-Bergischer Kreis,,722,134706
88,5382,Rhein-Sieg-Kreis,,2234,268283
89,5512,Bottrop, kreisfreie Stadt,244,58774
90,5513,Gelsenkirchen, kreisfreie Stadt,146,138004
91,5515,Münster, kreisfreie Stadt,1272,149341
92,5554,Borken, Landkreis,1467,149670
93,5558,Coesfeld, Landkreis,709,91342
94,5562,Recklinghausen, Landkreis,958,312318
95,5566,Steinfurt, Landkreis,2008,182475
96,5570,Warendorf, Landkreis,777,119863
97,5711,Bielefeld, kreisfreie Stadt,1269,163934
98,5754,Gütersloh, Landkreis,1135,155428
99,5758,Herford, Landkreis,467,119034
100,5762,Höxter, Landkreis,183,66000
101,5766,Lippe, Landkreis,696,169218
102,5770,Minden-Lübbecke, Landkreis,850,141169
103,5774,Paderborn, Landkreis,1119,134992
104,5911,Bochum, kreisfreie Stadt,459,194398
105,5913,Dortmund, kreisfreie Stadt,948,307552
106,5914,Hagen, kreisfreie Stadt,265,102138
107,5915,Hamm, kreisfreie Stadt,215,84886
108,5916,Herne, kreisfreie Stadt,143,83391
109,5954,Ennepe-Ruhr-Kreis,,384,171259
110,5958,Hochsauerlandkreis,,497,131735
111,5962,Märkischer Kreis,,241,211176
112,5966,Olpe, Landkreis,235,61731
113,5970,Siegen-Wittgenstein, Landkreis,409,134647
114,5974,Soest, Landkreis,1132,137754
115,5978,Unna, Landkreis,579,194440
116,6411,Darmstadt, kreisfreie Stadt,571,73296
117,6412,Frankfurt am Main, kreisfreie Stadt,3556,346158
118,6413,Offenbach am Main, kreisfreie Stadt,376,56557
119,6414,Wiesbaden, kreisfreie Stadt,549,137930
120,6431,Bergstraße, Landkreis,426,125030
121,6432,Darmstadt-Dieburg, Landkreis,788,133652
122,6433,Groß-Gerau, Landkreis,818,118225
123,6434,Hochtaunuskreis,,649,108369
124,6435,Main-Kinzig-Kreis,,822,193315
125,6436,Main-Taunus-Kreis,,574,107310
126,6437,Odenwaldkreis,,196,45836
127,6438,Offenbach, Landkreis,703,158490
128,6439,Rheingau-Taunus-Kreis,,222,89614
129,6440,Wetteraukreis,,692,140046
130,6531,Gießen, Landkreis,912,123257
131,6532,Lahn-Dill-Kreis,,480,117695
132,6533,Limburg-Weilburg, Landkreis,286,80316
133,6534,Marburg-Biedenkopf, Landkreis,426,112180
134,6535,Vogelsbergkreis,,101,51176
135,6611,Kassel, kreisfreie Stadt,267,101081
136,6631,Fulda, Landkreis,701,105286
137,6632,Hersfeld-Rotenburg, Landkreis,111,58203
138,6633,Kassel, Landkreis,304,115663
139,6634,Schwalm-Eder-Kreis,,130,86497
140,6635,Waldeck-Frankenberg, Landkreis,202,77928
141,6636,Werra-Meißner-Kreis,,46,51393
142,7111,Koblenz, kreisfreie Stadt,192,59551
143,7131,Ahrweiler, Landkreis,415,65328
