Index,Name,Construction_ConstructionOfHouses,Houses_NumberOfHouses
1,Schleswig-Holstein,9613,1395708
1001,"Flensburg, Kreisfreie Stadt",113,46803
1002,"Kiel, Landeshauptstadt, Kreisfreie Stadt",255,129149
1003,"LŸbeck, Hansestadt, Kreisfreie Stadt",468,112576
1004,"NeumŸnster, Kreisfreie Stadt",80,40357
1051,"Dithmarschen, Landkreis",360,68278
1053,"Herzogtum Lauenburg, Landkreis",558,87037
1054,"Nordfriesland, Landkreis",1035,96952
1055,"Ostholstein, Landkreis",882,111599
1056,"Pinneberg, Landkreis",1708,137445
1057,"Plšn, Landkreis",341,62467
1058,"Rendsburg-Eckernfšrde, Landkreis",1276,127749
1059,"Schleswig-Flensburg, Landkreis",887,92203
1060,"Segeberg, Landkreis",809,117239
1061,"Steinburg, Landkreis",203,61891
1062,"Stormarn, Landkreis",638,103966
2,Hamburg,6086,883427
3,Niedersachsen,22932,3766689
31,"Braunschweig, Stat. Region",2580,806736
3101,"Braunschweig, Kreisfreie Stadt",277,133095
3102,"Salzgitter, Kreisfreie Stadt",54,53658
3103,"Wolfsburg, Kreisfreie Stadt",364,61863
3151,"Gifhorn, Landkreis",686,75401
3152,"Gšttingen, Landkreis",368,125424
3153,"Goslar, Landkreis",60,80547
3154,"Helmstedt, Landkreis",178,47134
3155,"Northeim, Landkreis",79,69119
3156,"Osterode am Harz, Landkreis",58,41285
3157,"Peine, Landkreis",255,60864
3158,"WolfenbŸttel, Landkreis",201,58347
32,"Hannover, Stat. Region",3881,1062001
3241,"Region Hannover, Landkreis",2351,575181
3241001,"Hannover, Landeshauptstadt",975,287180
3251,"Diepholz, Landkreis",613,94191
3252,"Hameln-Pyrmont, Landkreis",162,80653
3254,"Hildesheim, Landkreis",368,140023
3255,"Holzminden, Landkreis",20,38784
3256,"Nienburg (Weser), Landkreis",183,54645
3257,"Schaumburg, Landkreis",184,78526
33,"LŸneburg, Stat. Region",5413,789859
3351,"Celle, Landkreis",329,86107
3352,"Cuxhaven, Landkreis",782,98758
3353,"Harburg, Landkreis",1094,112524
3354,"LŸchow-Dannenberg, Landkreis",77,25478
3355,"LŸneburg, Landkreis",475,82634
3356,"Osterholz, Landkreis",332,49645
3357,"Rotenburg (WŸmme), Landkreis",527,71421
3358,"Heidekreis, Landkreis",242,65708
3359,"Stade, Landkreis",968,90060
3360,"Uelzen, Landkreis",170,47116
3361,"Verden, Landkreis",417,60410
34,"Weser-Ems, Stat. Region",11058,1108095
3401,"Delmenhorst, Kreisfreie Stadt",229,36476
3402,"Emden, Kreisfreie Stadt",247,24754
3403,"Oldenburg (Oldenburg), Kreisfreie Stadt",684,82889
3404,"OsnabrŸck, Kreisfreie Stadt",354,84148
3405,"Wilhelmshaven, Kreisfreie Stadt",102,44143
3451,"Ammerland, Landkreis",618,53084
3452,"Aurich, Landkreis",743,93080
