,Index,Name,Type,Total_births,Male_births,Female_births,Hospitals_hospital,Beds in hospitals (JD)_hospital,Opthamology_hospital,Surgery_hospital,Welfare and obstetrics_hospital,"Ear, nose, and throat specialists_hospital",Skin and venereal disease_hospital,Internal Medicine_hospital,Geriatrics_hospital,Pediatrics_hospital,Neurology_hospital,Orthopedics_hospital,Urology_hospital,Other areas_hospital,Children and youth psychiatry and psychotherapy_hospital,Psychiatry and psychotherapy_hospital,Psychotherapeutic medicine_hospital,Total_deaths,Male_deaths,Female_deaths,"Graduates, Male_edu","Graduates, Female_edu","Hauptschulabschluss Graduates, Male_edu","Hauptschulabschluss Graduates, Female_edu","Mittlerem Abschluss Graduates, Male_edu","Mittlerem Abschluss Graduates, Female_edu","Fachhochschulreife Graduates, Male_edu","Fachhochschulreife Graduates, Female_edu","Allg. Hochschulreife-einschl.fachge.Hochschulreife Graduates, Male_edu","Allg. Hochschulreife-einschl.fachge.Hochschulreife Graduates, Female_edu","nachrichtl.: zus.erw.schul.Teil d. Fachhochs.reife, Male_edu","nachrichtl.: zus.erw.schul.Teil d. Fachhochs.reife, Female_edu","Total, Under 3 years_age","Total, 3 to under 6 years_age","Total, 6 to under 10 years_age","Total, 10 to under 15 years_age","Total, 15 to under 18 years_age","Total, 18 to under 20 years_age","Total, 20 to under 25 years_age","Total, 25 to under 30 years_age","Total, 30 to under 35 years_age","Total, 35 to under 40 years_age","Total, 40 to under 45 years_age","Total, 45 to under 50 years_age","Total, 50 to under 55 years_age","Total, 55 to under 60 years_age","Total, 60 to under 65 years_age","Total, 65 to under 75 years_age","Total, 75 years and older_age",Total_age,"Male, Under 3 years_age","Male, 3 to under 6 years_age","Male, 6 to under 10 years_age","Male, 10 to under 15 years_age","Male, 15 to under 18 years_age","Male, 18 to under 20 years_age","Male, 20 to under 25 years_age","Male, 25 to under 30 years_age","Male, 30 to under 35 years_age","Male, 35 to under 40 years_age","Male, 40 to under 45 years_age","Male, 45 to under 50 years_age","Male, 50 to under 55 years_age","Male, 55 to under 60 years_age","Male, 60 to under 65 years_age","Male, 65 to under 75 years_age","Male, 75 years and older_age","Male, Total_age","Female, Under 3 years_age","Female, 3 to under 6 years_age","Female, 6 to under 10 years_age","Female, 10 to under 15 years_age","Female, 15 to under 18 years_age","Female, 18 to under 20 years_age","Female, 20 to under 25 years_age","Female, 25 to under 30 years_age","Female, 30 to under 35 years_age","Female, 35 to under 40 years_age","Female, 40 to under 45 years_age","Female, 45 to under 50 years_age","Female, 50 to under 55 years_age","Female, 55 to under 60 years_age","Female, 60 to under 65 years_age","Female, 65 to under 75 years_age","Female, 75 years and older_age","Female, Total_age",Total_workingAge,"Total, Male_workingAge","Total, Female_workingAge",Foreigners_workingAge,"Foreigneres, Male_workingAge","Foreigners, Female_workingAge",Area (km^2)_surface,Total Unemployed_unemployed,Foreigners_unemployed,Severely Impaired_unemployed,15 to under 20 years_unemployed,15 to under 25 years_unemployed,55 to under 65 years_unemployed,Long-term Unemployed_unemployed,Veräußerungsfälle von Bauland - Total (Number)_worthArea,Veräußerte Baulandfläche - Total (1000 qm)_worthArea,Kaufsumme - Total (Tsd. EUR)_worthArea,Durchschnittlicher Kaufwert je qm - Total (EUR)_worthArea,Veräußerungsfälle von Bauland - Building Land (Number)_worthArea,Veräußerte Baulandfläche - Building Land (1000 qm)_worthArea,Kaufsumme - Building Land (Tsd. EUR)_worthArea,Durchschnittlicher Kaufwert je qm - Building Land (EUR)_worthArea
0,1001,Flensburg, kreisfreie Stadt,857,449,408,2,863,1,198,66,20,0,241,75,33,43,0,38,6,0,87,0,1064,508,556,966,389,123,50,227,87,203,38,248,137,165,77,2264,2240,2668,3350,2315,2039,8107,7517,5368,4786,4703,6296,6329,5589,4795,8612,8964,85942,1143,1130,1388,1744,1213,1004,3905,4181,2962,2589,2374,3268,3240,2725,2308,4042,3551,42767,1121,1110,1280,1606,1102,1035,4202,3336,2406,2197,2329,3028,3089,2864,2487,4570,5413,43175,27702,14106,13596,1612,914,698,56.74,4870,602,278,137,622,677,1765,45,32,3097,"98,26",45,32,3097,"98,26"
1,1002,Kiel, kreisfreie Stadt,2492,1261,1231,8,2265,74,369,119,80,63,625,90,121,84,205,65,148,0,0,0,2443,1189,1254,1548,737,108,36,412,171,251,101,475,273,302,156,6734,5998,7713,9338,6006,5128,22211,25297,19230,15394,14292,18110,17730,15131,12780,22578,22636,246306,3412,3082,3957,4903,3108,2472,10319,12642,9744,7824,7307,9351,8789,7428,6132,10681,8684,119835,3322,2916,3756,4435,2898,2656,11892,12655,9486,7570,6985,8759,8941,7703,6648,11897,13952,126471,81444,42080,39364,4689,2796,1893,118.65,13022,2665,539,237,1167,2088,5037,22,27,7645,"284,83",20,24,7359,"308,58"
2,1003,Lübeck, kreisfreie Stadt,1887,1002,885,6,1720,44,310,98,58,55,497,144,90,86,36,44,46,47,22,0,2860,1416,1444,1333,573,80,25,421,183,241,73,361,177,230,115,5518,5271,7094,8757,5962,4433,13478,15296,13697,12528,12789,16870,17400,14640,12568,23787,26165,216253,2887,2703,3583,4451,3074,2228,6836,7802,7034,6089,6345,8390,8531,7068,5832,10854,9976,103683,2631,2568,3511,4306,2888,2205,6642,7494,6663,6439,6444,8480,8869,7572,6736,12933,16189,112570,71336,36842,34494,4080,2480,1600,214.21,10858,1797,497,197,974,1722,4168,65,174,13773,"79,04",64,170,13714,"80,54"
3,1004,Neumünster, kreisfreie Stadt,629,319,310,3,678,0,174,39,6,0,170,82,32,40,0,25,9,0,79,10,1014,519,495,825,373,98,39,193,91,127,33,246,123,161,87,1960,1997,2830,3692,2711,1930,4649,5189,4461,4352,4724,6274,6408,5549,4741,8521,9209,79197,985,1032,1468,1915,1386,1020,2516,2743,2332,2224,2377,3195,3237,2800,2278,4028,3582,39118,975,965,1362,1777,1325,910,2133,2446,2129,2128,2347,3079,3171,2749,2463,4493,5627,40079,26311,14203,12108,1191,766,425,71.63,4201,694,217,107,468,714,1720,25,50,2898,"58,05",19,22,2333,"105,22"
4,1051,Dithmarschen, Landkreis,960,487,473,1,703,0,135,42,5,0,238,62,34,24,0,3,23,0,75,13,1845,934,911,400,210,55,29,164,96,61,19,82,43,38,23,3018,3174,4480,6349,4586,3349,7186,6697,6356,6629,7576,11056,11451,9983,9072,15764,16191,132917,1532,1634,2300,3220,2314,1731,3832,3547,3238,3278,3869,5500,5712,4899,4460,7713,6733,65512,1486,1540,2180,3129,2272,1618,3354,3150,3118,3351,3707,5556,5739,5084,4612,8051,9458,67405,43459,24410,19049,1322,872,450,1428.13,4890,427,212,154,636,829,1396,112,89,4860,"54,75",111,88,4855,"55,12"
5,1053,Herzogtum Lauenburg, Landkreis,1598,825,773,5,602,0,141,70,0,0,175,138,0,45,0,2,0,0,31,0,2264,1094,1170,489,216,63,24,158,73,53,12,107,59,108,48,5039,5086,7007,9747,6318,4230,9109,9646,10340,11066,12055,16941,17715,14419,11635,20496,22150,192999,2586,2636,3601,5027,3299,2224,4882,4966,5069,5371,5843,8437,8863,7140,5858,9722,9160,94684,2453,2450,3406,4720,3019,2006,4227,4680,5271,5695,6212,8504,8852,7279,5777,10774,12990,98315,68675,36189,32486,2715,1682,1033,1262.98,5924,908,366,142,662,1198,2282,278,263,24869,"94,44",268,248,24465,"98,47"
6,1054,Nordfriesland, Landkreis,1251,634,617,6,729,0,197,35,1,39,253,57,0,0,0,2,0,0,103,42,1985,1011,974,908,423,118,40,285,138,96,27,254,139,155,79,3739,3727,5360,8076,5617,4113,8962,8995,8274,8410,9471,13474,14425,12156,10739,19267,19155,163960,1911,1948,2744,4068,2869,2105,4949,4916,4251,4092,4622,6675,7005,5820,5217,9258,7869,80319,1828,1779,2616,4008,2748,2008,4013,4079,4023,4318,4849,6799,7420,6336,5522,10009,11286,83641,57011,29276,27735,2358,1260,1098,2082.81,5394,470,233,107,540,1268,2208,266,316,24510,"77,49",161,173,18816,"108,97"
7,1055,Ostholstein, Landkreis,1316,651,665,14,1788,0,249,60,5,2,301,141,25,198,110,17,13,0,522,126,2760,1352,1408,788,362,144,41,207,105,46,15,222,119,169,82,4036,4413,6096,8808,5978,4304,8954,8861,9076,10015,11403,16789,17730,15429,14214,26603,26865,199574,2066,2266,3078,4517,3054,2291,4837,4621,4465,4802,5477,8218,8618,7373,6817,12760,11152,96412,1970,2147,3018,4291,2924,2013,4117,4240,4611,5213,5926,8571,9112,8056,7397,13843,15713,103162,67496,33887,33609,2423,1360,1063,1392.59,6225,507,409,138,609,1461,2152,194,193,18095,"93,79",180,123,15341,"124,24"
8,1056,Pinneberg, Landkreis,2687,1365,1322,3,974,1,264,52,5,0,317,41,20,60,5,28,0,50,108,22,3407,1695,1712,765,340,110,44,360,183,67,15,103,47,125,51,8073,8048,11210,14763,9521,6746,15355,16076,16844,18433,19507,27296,27527,22249,17807,33544,34472,307471,4128,4092,5720,7574,4878,3566,8207,8376,8315,8981,9558,13631,13770,11090,8647,15660,14262,150455,3945,3956,5490,7189,4643,3180,7148,7700,8529,9452,9949,13665,13757,11159,9160,17884,20210,157016,115992,61284,54708,7409,4384,3025,664.25,8677,1845,453,177,819,1779,2878,195,136,32264,"237,45",192,132,31813,"240,87"
9,1057,Plön, Landkreis,935,491,444,3,225,0,54,21,2,0,91,0,12,0,0,1,0,0,44,0,1541,759,782,254,110,31,16,69,28,2,1,85,45,67,20,2897,3033,4467,6095,4322,2939,5559,5526,5652,6462,7598,11213,11834,9672,8548,16398,16089,128304,1484,1485,2305,3148,2225,1537,3049,2797,2726,3156,3624,5462,5854,4718,4160,7854,6765,62349,1413,1548,2162,2947,2097,1402,2510,2729,2926,3306,3974,5751,5980,4954,4388,8544,9324,65955,42716,21916,20800,860,454,406,1083.19,3573,280,218,67,347,922,1353,54,53,4365,"82,26",49,36,3619,"101,24"
